"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"
100	1000	"0.1"	10	0.02	"0.36 ( 0.01 )"	"4.14 ( 0.72 )"	"5.4 ( 0.08 )"	4.74	"0.78"	0.36	4.14	5.4
500	1000	"0.1"	2	0.52	"0.34 ( 0 )"	"0.93 ( 0.19 )"	"3.83 ( 0.06 )"	3.1	"0.21"	0.34	0.93	3.83
1000	1000	"0.1"	1	0.21	"0.31 ( 0 )"	"8.59 ( 1.37 )"	"2.96 ( 0.1 )"	11.63	"0.36"	0.31	8.59	2.96
50	50	"0.3"	1	0.32	"0.8 ( 0.05 )"	"5.34 ( 0.32 )"	"1.21 ( 0.12 )"	10.13	"0.48"	0.8	5.34	1.21
100	50	"0.3"	0.5	0.5	"0.52 ( 0.02 )"	"4.42 ( 0.52 )"	"0.1 ( 0.03 )"	10.32	"0.33"	0.52	4.42	0.1
500	50	"0.3"	0.1	0.91	"0.55 ( 0.02 )"	"0.53 ( 0.16 )"	"0 ( 0 )"	6.53	"0.05"	0.55	0.53	0
1000	50	"0.3"	0.05	0.89	"0.56 ( 0.02 )"	"0.66 ( 0.18 )"	"0 ( 0 )"	6.66	"0.06"	0.56	0.66	0
50	100	"0.3"	2	0.27	"0.94 ( 0.05 )"	"6 ( 0.34 )"	"1.93 ( 0.14 )"	10.07	"0.54"	0.94	6	1.93
100	100	"0.3"	1	0.47	"0.53 ( 0.02 )"	"5.24 ( 0.45 )"	"0.24 ( 0.06 )"	11	"0.4"	0.53	5.24	0.24
500	100	"0.3"	0.2	0.91	"0.54 ( 0.02 )"	"0.54 ( 0.15 )"	"0 ( 0 )"	6.54	"0.06"	0.54	0.54	0
1000	100	"0.3"	0.1	0.92	"0.55 ( 0.02 )"	"0.51 ( 0.15 )"	"0 ( 0 )"	6.51	"0.05"	0.55	0.51	0
50	500	"0.3"	10	0.13	"1.31 ( 0.06 )"	"5.44 ( 0.44 )"	"3.96 ( 0.15 )"	7.48	"0.69"	1.31	5.44	3.96
100	500	"0.3"	5	0.3	"0.73 ( 0.03 )"	"9 ( 0.76 )"	"0.99 ( 0.12 )"	14.01	"0.52"	0.73	6	0.99
500	500	"0.3"	1	0.95	"0.55 ( 0.01 )"	"0.31 ( 0.08 )"	"0 ( 0 )"	6.31	"0.04"	0.55	0.31	0
1000	500	"0.3"	0.5	0.92	"0.57 ( 0.02 )"	"0.49 ( 0.14 )"	"0 ( 0 )"	6.49	"0.05"	0.57	0.49	0
50	1000	"0.3"	20	0.07	"1.55 ( 0.08 )"	"3.96 ( 0.47 )"	"4.74 ( 0.14 )"	5.22	"0.68"	1.55	3.96	4.74
100	1000	"0.3"	10	0.25	"0.84 ( 0.03 )"	"9.51 ( 0.77 )"	"1.58 ( 0.11 )"	13.93	"0.58"	0.84	9.51	1.58
500	1000	"0.3"	2	0.92	"0.56 ( 0.01 )"	"0.52 ( 0.14 )"	"0 ( 0 )"	6.52	"0.05"	0.56	0.52	0
1000	1000	"0.3"	1	0.95	"0.56 ( 0.02 )"	"0.29 ( 0.08 )"	"0 ( 0 )"	6.29	"0.03"	0.56	0.29	0
50	50	"0.5"	1	0.42	"0.77 ( 0.04 )"	"5.49 ( 0.31 )"	"0.25 ( 0.06 )"	11.24	"0.44"	0.77	5.49	0.25
100	50	"0.5"	0.5	0.68	"0.6 ( 0.03 )"	"2.34 ( 0.31 )"	"0.01 ( 0.01 )"	8.33	"0.21"	0.6	2.34	0.01
500	50	"0.5"	0.1	0.93	"0.8 ( 0.03 )"	"0.42 ( 0.12 )"	"0 ( 0 )"	6.42	"0.05"	0.8	0.42	0
1000	50	"0.5"	0.05	0.88	"0.78 ( 0.03 )"	"0.7 ( 0.21 )"	"0 ( 0 )"	6.7	"0.07"	0.78	0.7	0
50	100	"0.5"	2	0.36	"1.03 ( 0.07 )"	"5.95 ( 0.33 )"	"0.96 ( 0.11 )"	10.99	"0.49"	1.03	5.95	0.96
100	100	"0.5"	1	0.65	"0.64 ( 0.03 )"	"2.9 ( 0.32 )"	"0.03 ( 0.02 )"	8.87	"0.27"	0.64	2.9	0.03
500	100	"0.5"	0.2	0.91	"0.76 ( 0.03 )"	"0.56 ( 0.19 )"	"0 ( 0 )"	6.56	"0.05"	0.76	0.56	0
1000	100	"0.5"	0.1	0.93	"0.8 ( 0.03 )"	"0.4 ( 0.09 )"	"0 ( 0 )"	6.4	"0.05"	0.8	0.4	0
50	500	"0.5"	10	0.22	"1.93 ( 0.1 )"	"5.08 ( 0.41 )"	"3.23 ( 0.15 )"	7.85	"0.55"	1.93	5.08	3.23
100	500	"0.5"	5	0.45	"0.79 ( 0.03 )"	"6.21 ( 0.54 )"	"0.33 ( 0.07 )"	11.88	"0.43"	0.79	6.21	0.33
500	500	"0.5"	1	0.94	"0.83 ( 0.03 )"	"0.36 ( 0.11 )"	"0 ( 0 )"	6.36	"0.04"	0.83	0.36	0
1000	500	"0.5"	0.5	0.97	"0.87 ( 0.03 )"	"0.19 ( 0.06 )"	"0 ( 0 )"	6.19	"0.02"	0.87	0.19	0
50	1000	"0.5"	20	0.15	"2.1 ( 0.11 )"	"5.84 ( 0.49 )"	"3.77 ( 0.14 )"	8.07	"0.66"	2.1	5.84	3.77
100	1000	"0.5"	10	0.35	"0.91 ( 0.04 )"	"8.88 ( 0.73 )"	"0.52 ( 0.09 )"	14.36	"0.51"	0.91	8.88	0.52
500	1000	"0.5"	2	0.98	"0.86 ( 0.02 )"	"0.13 ( 0.05 )"	"0 ( 0 )"	6.13	"0.02"	0.86	0.13	0
1000	1000	"0.5"	1	0.95	"0.85 ( 0.02 )"	"0.3 ( 0.11 )"	"0 ( 0 )"	6.3	"0.03"	0.85	0.3	0
50	50	"0.7"	1	0.49	"0.8 ( 0.06 )"	"4.27 ( 0.31 )"	"0.24 ( 0.06 )"	10.03	"0.37"	0.8	4.27	0.24
100	50	"0.7"	0.5	0.75	"0.75 ( 0.03 )"	"1.71 ( 0.28 )"	"0 ( 0 )"	7.71	"0.16"	0.75	1.71	0
500	50	"0.7"	0.1	0.9	"1 ( 0.04 )"	"0.58 ( 0.19 )"	"0 ( 0 )"	6.58	"0.06"	1	0.58	0
1000	50	"0.7"	0.05	0.92	"0.98 ( 0.04 )"	"0.43 ( 0.09 )"	"0 ( 0 )"	6.43	"0.05"	0.98	0.43	0
50	100	"0.7"	2	0.42	"1.14 ( 0.08 )"	"5.46 ( 0.32 )"	"0.55 ( 0.09 )"	10.91	"0.46"	1.14	5.46	0.55
100	100	"0.7"	1	0.69	"0.82 ( 0.04 )"	"2.46 ( 0.41 )"	"0 ( 0 )"	8.46	"0.21"	0.82	2.46	0
500	100	"0.7"	0.2	0.89	"1.01 ( 0.04 )"	"0.68 ( 0.23 )"	"0 ( 0 )"	6.68	"0.06"	1.01	0.68	0
1000	100	"0.7"	0.1	0.94	"1.08 ( 0.04 )"	"0.36 ( 0.09 )"	"0 ( 0 )"	6.36	"0.04"	1.08	0.36	0
50	500	"0.7"	10	0.26	"2.76 ( 0.17 )"	"5.16 ( 0.4 )"	"2.65 ( 0.15 )"	8.51	"0.51"	2.76	5.16	2.65
100	500	"0.7"	5	0.52	"0.87 ( 0.03 )"	"5.39 ( 0.52 )"	"0.04 ( 0.02 )"	11.35	"0.39"	0.87	5.39	0.04
500	500	"0.7"	1	0.94	"1.05 ( 0.04 )"	"0.35 ( 0.1 )"	"0 ( 0 )"	6.35	"0.04"	1.05	0.35	0
1000	500	"0.7"	0.5	0.98	"1.14 ( 0.04 )"	"0.14 ( 0.04 )"	"0 ( 0 )"	6.14	"0.02"	1.14	0.14	0
50	1000	"0.7"	20	0.2	"3.02 ( 0.16 )"	"5.41 ( 0.43 )"	"3.39 ( 0.13 )"	8.02	"0.58"	3.02	5.41	3.39
100	1000	"0.7"	10	0.45	"0.91 ( 0.04 )"	"6.6 ( 0.53 )"	"0.2 ( 0.05 )"	12.4	"0.45"	0.91	6.6	0.2
500	1000	"0.7"	2	0.95	"1.04 ( 0.04 )"	"0.31 ( 0.1 )"	"0 ( 0 )"	6.31	"0.04"	1.04	0.31	0
1000	1000	"0.7"	1	0.97	"1.13 ( 0.04 )"	"0.21 ( 0.07 )"	"0 ( 0 )"	6.21	"0.03"	1.13	0.21	0
50	50	"0.9"	1	0.48	"0.92 ( 0.07 )"	"4.7 ( 0.32 )"	"0.14 ( 0.04 )"	10.56	"0.38"	0.92	4.7	0.14
100	50	"0.9"	0.5	0.76	"0.94 ( 0.05 )"	"1.59 ( 0.25 )"	"0 ( 0 )"	7.59	"0.15"	0.94	1.59	0
500	50	"0.9"	0.1	0.92	"1.15 ( 0.06 )"	"0.47 ( 0.11 )"	"0 ( 0 )"	6.47	"0.05"	1.15	0.47	0
1000	50	"0.9"	0.05	0.89	"1.28 ( 0.05 )"	"0.62 ( 0.19 )"	"0 ( 0 )"	6.62	"0.06"	1.28	0.62	0
50	100	"0.9"	2	0.42	"1.28 ( 0.08 )"	"5.86 ( 0.29 )"	"0.47 ( 0.09 )"	11.39	"0.48"	1.28	5.86	0.47
100	100	"0.9"	1	0.81	"0.94 ( 0.04 )"	"1.34 ( 0.23 )"	"0 ( 0 )"	7.34	"0.14"	0.94	1.34	0
500	100	"0.9"	0.2	0.93	"1.16 ( 0.05 )"	"0.43 ( 0.13 )"	"0 ( 0 )"	6.43	"0.05"	1.16	0.43	0
1000	100	"0.9"	0.1	0.94	"1.32 ( 0.05 )"	"0.34 ( 0.1 )"	"0 ( 0 )"	6.34	"0.04"	1.32	0.34	0
50	500	"0.9"	10	0.25	"3.06 ( 0.18 )"	"5.42 ( 0.4 )"	"2.69 ( 0.15 )"	8.73	"0.54"	3.06	5.42	2.69
100	500	"0.9"	5	0.58	"0.97 ( 0.04 )"	"4.2 ( 0.49 )"	"0.02 ( 0.02 )"	10.18	"0.31"	0.97	4.2	0.02
500	500	"0.9"	1	0.93	"1.27 ( 0.05 )"	"0.44 ( 0.18 )"	"0 ( 0 )"	6.44	"0.04"	1.27	0.44	0
1000	500	"0.9"	0.5	0.96	"1.31 ( 0.05 )"	"0.23 ( 0.06 )"	"0 ( 0 )"	6.23	"0.03"	1.31	0.23	0
50	1000	"0.9"	20	0.23	"3.37 ( 0.19 )"	"5.29 ( 0.41 )"	"3.13 ( 0.15 )"	8.16	"0.57"	3.37	5.29	3.13
100	1000	"0.9"	10	0.56	"1.14 ( 0.05 )"	"4.56 ( 0.38 )"	"0.07 ( 0.03 )"	10.49	"0.37"	1.14	4.56	0.07
500	1000	"0.9"	2	0.96	"1.28 ( 0.04 )"	"0.27 ( 0.11 )"	"0 ( 0 )"	6.27	"0.03"	1.28	0.27	0
1000	1000	"0.9"	1	0.95	"1.35 ( 0.05 )"	"0.29 ( 0.09 )"	"0 ( 0 )"	6.29	"0.03"	1.35	0.29	0
